ID,Answer
0,284
1,305
2,306
3,432
4,395
5,200
6,389
7,305
8,266
9,292
10,379
11,416
12,55
13,267
14,78
15,314
16,314
17,305
18,440
19,305
20,209
21,293
22,458
23,395
24,180
25,179
26,336
27,179
28,316
29,293
30,395
31,296
32,87
33,375
34,384
35,410
36,87
37,254
38,384
39,424
40,260
41,237
42,451
43,249
44,8
45,452
46,222
47,200
48,66
49,412
50,222
51,93
52,222
53,77
54,66
55,220
56,62
57,211
58,49
59,445
60,222
61,421
62,436
63,72
64,429
65,459
66,187
67,410
68,179
69,234
70,38
71,454
72,439
73,457
74,438
75,22
76,305
77,10
78,83
79,340
80,300
81,237
82,326
83,83
84,365
85,260
86,175
87,10
88,295
89,65
90,237
91,27
92,408
93,299
94,439
95,249
96,93
97,445
98,102
99,81
100,220
101,62
102,211
103,49
104,445
105,229
106,311
107,440
108,461
109,85
110,429
111,412
112,305
113,38
114,422
115,179
116,249
117,209
118,210
119,102
120,244
121,442
122,243
123,434
124,86
125,249
126,236
127,101
128,462
129,219
130,186
131,316
132,457
133,449
134,222
135,435
136,302
137,308
138,435
139,83
140,376
141,367
142,367
143,293
144,295
145,185
146,409
147,38
148,393
149,248
150,93
151,426
152,33
153,412
154,66
155,83
156,306
157,445
158,199
159,85
160,217
161,365
162,445
163,87
164,259
165,13
166,13
167,437
168,415
169,200
170,382
171,382
172,437
173,206
174,191
175,87
176,50
177,442
178,253
179,10
180,437
181,296
182,445
183,83
184,56
185,395
186,412
187,82
188,5
189,102
190,297
191,303
192,442
193,83
194,295
195,293
196,189
197,194
198,420
199,223
