ID,Answer
0,435
1,314
2,303
3,432
4,395
5,200
6,389
7,410
8,267
9,292
10,387
11,416
12,55
13,267
14,78
15,314
16,313
17,410
18,440
19,410
20,209
21,373
22,458
23,395
24,275
25,59
26,448
27,448
28,316
29,448
30,395
31,296
32,87
33,313
34,410
35,410
36,73
37,248
38,431
39,424
40,241
41,96
42,451
43,241
44,61
45,452
46,222
47,200
48,62
49,180
50,93
51,93
52,222
53,77
54,62
55,220
56,62
57,211
58,217
59,445
60,222
61,327
62,437
63,433
64,429
65,461
66,191
67,314
68,179
69,179
70,38
71,80
72,439
73,457
74,280
75,22
76,305
77,12
78,57
79,289
80,300
81,212
82,314
83,76
84,249
85,260
86,1
87,288
88,446
89,65
90,237
91,452
92,426
93,297
94,439
95,249
96,93
97,179
98,100
99,280
100,220
101,62
102,211
103,49
104,445
105,229
106,311
107,432
108,461
109,1
110,429
111,180
112,410
113,38
114,422
115,179
116,448
117,209
118,210
119,102
120,244
121,442
122,441
123,434
124,86
125,250
126,236
127,101
128,462
129,219
130,186
131,327
132,457
133,449
134,418
135,435
136,302
137,58
138,247
139,448
140,305
141,368
142,368
143,290
144,295
145,185
146,271
147,39
148,439
149,245
150,54
151,424
152,33
153,54
154,64
155,57
156,384
157,445
158,191
159,85
160,220
161,249
162,445
163,87
164,260
165,13
166,13
167,437
168,81
169,200
170,336
171,448
172,438
173,206
174,191
175,1
176,50
177,442
178,245
179,9
180,437
181,295
182,451
183,437
184,343
185,385
186,326
187,82
188,415
189,59
190,297
191,303
192,379
193,83
194,280
195,293
196,201
197,194
198,431
199,223
