ID,Answer
0,279
1,305
2,290
3,432
4,324
5,91
6,305
7,305
8,266
9,292
10,387
11,416
12,52
13,266
14,78
15,314
16,323
17,384
18,440
19,410
20,232
21,446
22,458
23,333
24,180
25,58
26,256
27,325
28,316
29,289
30,405
31,296
32,87
33,324
34,407
35,305
36,87
37,254
38,376
39,462
40,262
41,94
42,451
43,262
44,58
45,451
46,222
47,233
48,66
49,91
50,51
51,94
52,222
53,76
54,66
55,219
56,62
57,211
58,51
59,445
60,178
61,421
62,437
63,433
64,429
65,461
66,191
67,305
68,279
69,234
70,231
71,80
72,433
73,457
74,200
75,189
76,376
77,29
78,56
79,459
80,297
81,196
82,326
83,178
84,256
85,256
86,175
87,10
88,195
89,99
90,76
91,27
92,408
93,228
94,433
95,57
96,439
97,414
98,99
99,228
100,219
101,62
102,211
103,49
104,445
105,229
106,310
107,432
108,459
109,85
110,430
111,90
112,305
113,38
114,422
115,179
116,256
117,209
118,211
119,102
120,245
121,442
122,242
123,434
124,86
125,57
126,234
127,101
128,78
129,219
130,186
131,331
132,457
133,449
134,277
135,435
136,302
137,57
138,287
139,179
140,376
141,367
142,367
143,446
144,295
145,185
146,256
147,231
148,402
149,287
150,287
151,419
152,34
153,90
154,66
155,57
156,382
157,445
158,197
159,90
160,219
161,74
162,445
163,90
164,260
165,55
166,52
167,437
168,325
169,200
170,256
171,97
172,437
173,242
174,191
175,91
176,50
177,442
178,287
179,9
180,437
181,295
182,283
183,182
184,459
185,408
186,314
187,82
188,287
189,217
190,297
191,302
192,461
193,83
194,182
195,287
196,201
197,194
198,420
199,194
