ID,Answer
0,435
1,378
2,303
3,432
4,367
5,97
6,384
7,386
8,266
9,292
10,4
11,416
12,55
13,266
14,78
15,314
16,385
17,384
18,440
19,456
20,5
21,38
22,458
23,341
24,180
25,262
26,256
27,54
28,316
29,289
30,405
31,296
32,87
33,324
34,407
35,456
36,462
37,58
38,431
39,424
40,262
41,94
42,451
43,262
44,58
45,452
46,222
47,177
48,64
49,5
50,51
51,95
52,222
53,77
54,62
55,220
56,79
57,211
58,219
59,445
60,436
61,421
62,437
63,433
64,429
65,459
66,194
67,378
68,437
69,180
70,231
71,80
72,439
73,457
74,200
75,189
76,376
77,10
78,56
79,353
80,300
81,196
82,326
83,178
84,463
85,260
86,175
87,287
88,195
89,65
90,239
91,27
92,408
93,228
94,188
95,58
96,439
97,414
98,387
99,228
100,220
101,79
102,210
103,49
104,445
105,229
106,370
107,432
108,459
109,285
110,429
111,90
112,305
113,279
114,422
115,180
116,256
117,209
118,210
119,102
120,182
121,442
122,181
123,434
124,86
125,58
126,234
127,101
128,419
129,219
130,186
131,326
132,457
133,449
134,234
135,435
136,302
137,57
138,287
139,182
140,376
141,367
142,367
143,446
144,295
145,185
146,460
147,227
148,405
149,245
150,287
151,419
152,33
153,90
154,66
155,57
156,382
157,446
158,197
159,90
160,219
161,74
162,445
163,90
164,259
165,55
166,55
167,437
168,54
169,200
170,463
171,96
172,437
173,206
174,191
175,93
176,50
177,442
178,254
179,10
180,437
181,295
182,266
183,182
184,459
185,408
186,267
187,82
188,284
189,217
190,297
191,303
192,278
193,85
194,182
195,59
196,201
197,194
198,420
199,281
